"filename", "language", "XML", "JSON", "JavaScript", "vue", "Markdown", "SCSS", "HTML", "YAML", "Java", "comment", "blank", "total"
"e:\Projects\web\articlehub\README.md", "Markdown", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 23, 99
"e:\Projects\web\articlehub\backend\pom.xml", "XML", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 117
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\ArticleHubApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 3, 15
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\anno\State.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 6, 30
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\config\WebConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 6, 22
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\controller\ArticleController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 8, 37
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\controller\CategoryController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 10, 49
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\controller\FileUploadController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 7, 32
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 91, 22, 18, 131
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 5, 18
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\interceptors\LoginInterceptor.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 33, 18, 7, 58
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\mapper\ArticleMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 7, 20
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\mapper\CategoryMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 9, 33
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\mapper\UserMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 8, 30
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\pojo\Article.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 6, 33
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\pojo\Category.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 9, 35
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\pojo\PageBean.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 4, 17
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\pojo\Result.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 7, 31
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\pojo\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 7, 33
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\service\ArticleService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\service\CategoryService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 8, 23
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 7, 21
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\service\impl\ArticleServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 39, 6, 13, 58
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\service\impl\CategoryServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 44, 1, 12, 57
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\service\impl\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 42, 2, 11, 55
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\utils\AliOssUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 48, 4, 10, 62
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\utils\JwtUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 8, 31
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\utils\Md5Util.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 43, 16, 14, 73
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\utils\ThreadLocalUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 6, 29
"e:\Projects\web\articlehub\backend\src\main\java\com\ngymkana\validation\StateValidation.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 4, 28
"e:\Projects\web\articlehub\backend\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 3, 26
"e:\Projects\web\articlehub\backend\src\main\resources\com\ngymkana\mapper\ArticleMapper.xml", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"e:\Projects\web\articlehub\backend\src\test\java\com\ngymkana\JwtTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 11, 47
"e:\Projects\web\articlehub\backend\src\test\java\com\ngymkana\RedisTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 23, 2, 9, 34
"e:\Projects\web\articlehub\backend\src\test\java\com\ngymkana\ThreadLocalTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 6, 28
"e:\Projects\web\articlehub\frontend\README.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 12, 30
"e:\Projects\web\articlehub\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"e:\Projects\web\articlehub\frontend\package-lock.json", "JSON", 0, 1560, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1561
"e:\Projects\web\articlehub\frontend\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"e:\Projects\web\articlehub\frontend\src\App.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"e:\Projects\web\articlehub\frontend\src\api\article.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 9, 6, 35
"e:\Projects\web\articlehub\frontend\src\api\user.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 6, 39
"e:\Projects\web\articlehub\frontend\src\assets\main.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"e:\Projects\web\articlehub\frontend\src\main.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\Projects\web\articlehub\frontend\src\router\index.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 6, 35
"e:\Projects\web\articlehub\frontend\src\stores\token.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 10, 4, 30
"e:\Projects\web\articlehub\frontend\src\stores\userInfo.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 7, 21
"e:\Projects\web\articlehub\frontend\src\utils\request.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 18, 10, 66
"e:\Projects\web\articlehub\frontend\src\views\Layout.vue", "vue", 0, 0, 0, 178, 0, 0, 0, 0, 0, 12, 14, 204
"e:\Projects\web\articlehub\frontend\src\views\Login.vue", "vue", 0, 0, 0, 213, 0, 0, 0, 0, 0, 4, 17, 234
"e:\Projects\web\articlehub\frontend\src\views\article\ArticleCategory.vue", "vue", 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 17, 168
"e:\Projects\web\articlehub\frontend\src\views\article\ArticleManage.vue", "vue", 0, 0, 0, 222, 0, 0, 0, 0, 0, 12, 35, 269
"e:\Projects\web\articlehub\frontend\src\views\user\UserAvatar.vue", "vue", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 13, 101
"e:\Projects\web\articlehub\frontend\src\views\user\UserInfo.vue", "vue", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 3, 60
"e:\Projects\web\articlehub\frontend\src\views\user\UserResetPassword.vue", "vue", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Projects\web\articlehub\frontend\vite.config.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 3, 28
"Total", "-", 116, 1584, 179, 918, 94, 16, 13, 22, 800, 215, 464, 4421
